origem,faultNumber,simulationRun,conjunto
Training,0,362,treino
Training,0,74,treino
Training,0,375,treino
Training,0,156,treino
Training,0,105,treino
Training,0,395,treino
Training,0,378,treino
Training,0,125,treino
Training,0,69,treino
Training,0,451,treino
Training,0,10,treino
Training,0,195,treino
Training,0,407,treino
Training,0,85,treino
Training,0,372,treino
Training,0,389,treino
Training,0,496,treino
Training,0,31,treino
Training,0,317,treino
Training,0,409,treino
Training,0,491,treino
Training,0,492,treino
Training,0,281,treino
Training,0,357,treino
Training,0,77,treino
Training,0,462,treino
Training,0,498,treino
Training,0,212,treino
Training,0,102,treino
Training,0,335,treino
Training,0,476,treino
Training,0,337,treino
Training,0,441,treino
Training,0,174,treino
Training,0,3,treino
Training,0,334,treino
Training,0,410,treino
Training,0,71,treino
Training,0,210,treino
Training,0,64,treino
Training,0,385,treino
Training,0,94,treino
Training,0,486,treino
Training,0,186,treino
Training,0,34,treino
Training,0,78,treino
Training,0,1,treino
Training,0,12,treino
Training,0,416,treino
Training,0,23,treino
Training,0,73,treino
Training,0,183,treino
Training,0,132,treino
Training,0,411,treino
Training,0,194,treino
Training,0,56,treino
Training,0,149,treino
Training,0,19,treino
Training,0,205,treino
Training,0,79,treino
Training,0,495,treino
Training,0,263,treino
Training,0,324,treino
Training,0,484,treino
Training,0,80,treino
Training,0,40,treino
Training,0,452,treino
Training,0,47,treino
Training,0,239,treino
Training,0,392,treino
Training,0,353,treino
Training,0,342,treino
Training,0,278,treino
Training,0,291,treino
Training,0,318,treino
Training,0,305,treino
Training,0,269,treino
Training,0,70,treino
Training,0,456,treino
Training,0,466,treino
Training,0,155,treino
Training,0,83,treino
Training,0,478,treino
Training,0,173,treino
Training,0,322,treino
Training,0,91,treino
Training,0,181,treino
Training,0,415,treino
Training,0,313,treino
Training,0,279,treino
Training,0,382,treino
Training,0,473,treino
Training,0,363,treino
Training,0,325,treino
Training,0,432,treino
Training,0,348,treino
Training,0,87,treino
Training,0,76,treino
Training,0,439,treino
Training,0,16,treino
Training,0,250,validacao
Training,0,434,validacao
Training,0,20,validacao
Training,0,323,validacao
Training,0,333,validacao
Training,0,57,validacao
Training,0,302,validacao
Training,0,230,validacao
Training,0,332,validacao
Training,0,133,validacao
Training,0,138,validacao
Training,0,424,validacao
Training,0,336,validacao
Training,0,26,validacao
Training,0,465,validacao
Training,0,282,validacao
Training,0,248,validacao
Training,0,238,validacao
Training,0,118,validacao
Training,0,43,validacao
Training,0,221,validacao
Training,0,177,validacao
Training,0,321,validacao
Training,0,154,validacao
Training,0,232,validacao
Training,0,228,validacao
Training,0,418,validacao
Training,0,204,validacao
Training,0,127,validacao
Training,0,330,validacao
Training,0,32,validacao
Training,0,114,validacao
Training,0,471,validacao
Training,0,272,validacao
Training,0,141,validacao
Training,0,58,validacao
Training,0,193,validacao
Training,0,25,validacao
Training,0,18,validacao
Training,0,266,validacao
Training,0,67,validacao
Training,0,209,validacao
Training,0,480,validacao
Training,0,95,validacao
Training,0,254,validacao
Training,0,267,validacao
Training,0,24,validacao
Training,0,223,validacao
Training,0,262,validacao
Training,0,427,validacao
Training,0,6,nao_usado_training
Training,0,117,nao_usado_training
Training,0,46,nao_usado_training
Training,0,17,nao_usado_training
Training,0,463,nao_usado_training
Training,0,358,nao_usado_training
Training,0,4,nao_usado_training
Training,0,219,nao_usado_training
Training,0,406,nao_usado_training
Training,0,61,nao_usado_training
Training,0,111,nao_usado_training
Training,0,319,nao_usado_training
Training,0,429,nao_usado_training
Training,0,30,nao_usado_training
Training,0,438,nao_usado_training
Training,0,472,nao_usado_training
Training,0,27,nao_usado_training
Training,0,8,nao_usado_training
Training,0,454,nao_usado_training
Training,0,109,nao_usado_training
Training,0,38,nao_usado_training
Training,0,158,nao_usado_training
Training,0,490,nao_usado_training
Training,0,119,nao_usado_training
Training,0,115,nao_usado_training
Training,0,176,nao_usado_training
Training,0,374,nao_usado_training
Training,0,182,nao_usado_training
Training,0,145,nao_usado_training
Training,0,370,nao_usado_training
Training,0,391,nao_usado_training
Training,0,196,nao_usado_training
Training,0,405,nao_usado_training
Training,0,276,nao_usado_training
Training,0,455,nao_usado_training
Training,0,142,nao_usado_training
Training,0,366,nao_usado_training
Training,0,68,nao_usado_training
Training,0,211,nao_usado_training
Training,0,169,nao_usado_training
Training,0,494,nao_usado_training
Training,0,376,nao_usado_training
Training,0,401,nao_usado_training
Training,0,273,nao_usado_training
Training,0,110,nao_usado_training
Training,0,249,nao_usado_training
Training,0,146,nao_usado_training
Training,0,93,nao_usado_training
Training,0,153,nao_usado_training
Training,0,368,nao_usado_training
Training,0,468,nao_usado_training
Training,0,84,nao_usado_training
Training,0,246,nao_usado_training
Training,0,166,nao_usado_training
Training,0,164,nao_usado_training
Training,0,200,nao_usado_training
Training,0,229,nao_usado_training
Training,0,75,nao_usado_training
Training,0,479,nao_usado_training
Training,0,359,nao_usado_training
Training,0,251,nao_usado_training
Training,0,120,nao_usado_training
Training,0,311,nao_usado_training
Training,0,300,nao_usado_training
Training,0,256,nao_usado_training
Training,0,355,nao_usado_training
Training,0,400,nao_usado_training
Training,0,226,nao_usado_training
Training,0,354,nao_usado_training
Training,0,235,nao_usado_training
Training,0,383,nao_usado_training
Training,0,275,nao_usado_training
Training,0,37,nao_usado_training
Training,0,197,nao_usado_training
Training,0,140,nao_usado_training
Training,0,365,nao_usado_training
Training,0,245,nao_usado_training
Training,0,440,nao_usado_training
Training,0,287,nao_usado_training
Training,0,60,nao_usado_training
Training,0,112,nao_usado_training
Training,0,90,nao_usado_training
Training,0,437,nao_usado_training
Training,0,7,nao_usado_training
Training,0,361,nao_usado_training
Training,0,347,nao_usado_training
Training,0,339,nao_usado_training
Training,0,159,nao_usado_training
Training,0,151,nao_usado_training
Training,0,178,nao_usado_training
Training,0,394,nao_usado_training
Training,0,185,nao_usado_training
Training,0,450,nao_usado_training
Training,0,11,nao_usado_training
Training,0,381,nao_usado_training
Training,0,104,nao_usado_training
Training,0,82,nao_usado_training
Training,0,39,nao_usado_training
Training,0,315,nao_usado_training
Training,0,168,nao_usado_training
Training,0,470,nao_usado_training
Training,0,297,nao_usado_training
Training,0,475,nao_usado_training
Training,0,199,nao_usado_training
Training,0,298,nao_usado_training
Training,0,417,nao_usado_training
Training,0,147,nao_usado_training
Training,0,393,nao_usado_training
Training,0,148,nao_usado_training
Training,0,448,nao_usado_training
Training,0,288,nao_usado_training
Training,0,124,nao_usado_training
Training,0,369,nao_usado_training
Training,0,97,nao_usado_training
Training,0,144,nao_usado_training
Training,0,240,nao_usado_training
Training,0,443,nao_usado_training
Training,0,98,nao_usado_training
Training,0,408,nao_usado_training
Training,0,123,nao_usado_training
Training,0,184,nao_usado_training
Training,0,203,nao_usado_training
Training,0,247,nao_usado_training
Training,0,306,nao_usado_training
Training,0,299,nao_usado_training
Training,0,352,nao_usado_training
Training,0,387,nao_usado_training
Training,0,396,nao_usado_training
Training,0,285,nao_usado_training
Training,0,126,nao_usado_training
Training,0,303,nao_usado_training
Training,0,224,nao_usado_training
Training,0,419,nao_usado_training
Training,0,220,nao_usado_training
Training,0,130,nao_usado_training
Training,0,421,nao_usado_training
Training,0,290,nao_usado_training
Training,0,445,nao_usado_training
Training,0,377,nao_usado_training
Training,0,292,nao_usado_training
Training,0,356,nao_usado_training
Training,0,295,nao_usado_training
Training,0,397,nao_usado_training
Training,0,341,nao_usado_training
Training,0,113,nao_usado_training
Training,0,180,nao_usado_training
Training,0,308,nao_usado_training
Training,0,433,nao_usado_training
Training,0,488,nao_usado_training
Training,0,482,nao_usado_training
Training,0,423,nao_usado_training
Training,0,234,nao_usado_training
Training,0,312,nao_usado_training
Training,0,165,nao_usado_training
Training,0,137,nao_usado_training
Training,0,198,nao_usado_training
Training,0,259,nao_usado_training
Training,0,233,nao_usado_training
Training,0,116,nao_usado_training
Training,0,121,nao_usado_training
Training,0,350,nao_usado_training
Training,0,225,nao_usado_training
Training,0,403,nao_usado_training
Training,0,398,nao_usado_training
Training,0,128,nao_usado_training
Training,0,286,nao_usado_training
Training,0,412,nao_usado_training
Training,0,108,nao_usado_training
Training,0,371,nao_usado_training
Training,0,326,nao_usado_training
Training,0,134,nao_usado_training
Training,0,453,nao_usado_training
Training,0,45,nao_usado_training
Training,0,461,nao_usado_training
Training,0,66,nao_usado_training
Training,0,284,nao_usado_training
Training,0,86,nao_usado_training
Training,0,243,nao_usado_training
Training,0,187,nao_usado_training
Training,0,384,nao_usado_training
Training,0,160,nao_usado_training
Training,0,13,nao_usado_training
Training,0,36,nao_usado_training
Training,0,29,nao_usado_training
Training,0,171,nao_usado_training
Training,0,143,nao_usado_training
Training,0,399,nao_usado_training
Training,0,343,nao_usado_training
Training,0,222,nao_usado_training
Training,0,96,nao_usado_training
Training,0,52,nao_usado_training
Training,0,241,nao_usado_training
Training,0,485,nao_usado_training
Training,0,379,nao_usado_training
Training,0,179,nao_usado_training
Training,0,42,nao_usado_training
Training,0,499,nao_usado_training
Training,0,422,nao_usado_training
Training,0,207,nao_usado_training
Training,0,283,nao_usado_training
Training,0,255,nao_usado_training
Training,0,413,nao_usado_training
Training,0,5,nao_usado_training
Training,0,257,nao_usado_training
Training,0,449,nao_usado_training
Training,0,101,nao_usado_training
Training,0,227,nao_usado_training
Training,0,430,nao_usado_training
Training,0,214,nao_usado_training
Training,0,172,nao_usado_training
Training,0,99,nao_usado_training
Training,0,293,nao_usado_training
Training,0,216,nao_usado_training
Training,0,62,nao_usado_training
Training,0,48,nao_usado_training
Training,0,33,nao_usado_training
Training,0,268,nao_usado_training
Training,0,328,nao_usado_training
Training,0,201,nao_usado_training
Training,0,447,nao_usado_training
Training,0,28,nao_usado_training
Training,0,425,nao_usado_training
Training,0,231,nao_usado_training
Training,0,261,nao_usado_training
Training,0,289,nao_usado_training
Training,0,163,nao_usado_training
Training,0,426,nao_usado_training
Training,0,139,nao_usado_training
Training,0,63,nao_usado_training
Training,0,136,nao_usado_training
Training,0,129,nao_usado_training
Training,0,477,nao_usado_training
Training,0,9,nao_usado_training
Training,0,327,nao_usado_training
Training,0,464,nao_usado_training
Training,0,65,nao_usado_training
Training,0,301,nao_usado_training
Training,0,15,nao_usado_training
Training,0,157,nao_usado_training
Training,0,41,nao_usado_training
Training,0,380,nao_usado_training
Training,0,469,nao_usado_training
Training,0,404,nao_usado_training
Training,0,217,nao_usado_training
Training,0,280,nao_usado_training
Training,0,435,nao_usado_training
Training,0,431,nao_usado_training
Training,0,338,nao_usado_training
Training,0,237,nao_usado_training
Training,0,208,nao_usado_training
Training,0,213,nao_usado_training
Training,0,296,nao_usado_training
Training,0,458,nao_usado_training
Training,0,252,nao_usado_training
Training,0,489,nao_usado_training
Training,0,487,nao_usado_training
Training,0,304,nao_usado_training
Training,0,351,nao_usado_training
Training,0,270,nao_usado_training
Training,0,202,nao_usado_training
Training,0,162,nao_usado_training
Training,0,44,nao_usado_training
Training,0,218,nao_usado_training
Training,0,402,nao_usado_training
Training,0,191,nao_usado_training
Training,0,310,nao_usado_training
Training,0,260,nao_usado_training
Training,0,106,nao_usado_training
Training,0,54,nao_usado_training
Training,0,390,nao_usado_training
Training,0,2,nao_usado_training
Training,0,442,nao_usado_training
Training,0,483,nao_usado_training
Training,0,50,nao_usado_training
Training,0,420,nao_usado_training
Training,0,81,nao_usado_training
Training,0,206,nao_usado_training
Training,0,35,nao_usado_training
Training,0,264,nao_usado_training
Training,0,428,nao_usado_training
Training,0,367,nao_usado_training
Training,0,92,nao_usado_training
Training,0,340,nao_usado_training
Training,0,474,nao_usado_training
Training,0,53,nao_usado_training
Training,0,346,nao_usado_training
Training,0,265,nao_usado_training
Training,0,242,nao_usado_training
Training,0,14,nao_usado_training
Training,0,316,nao_usado_training
Training,0,89,nao_usado_training
Training,0,388,nao_usado_training
Training,0,274,nao_usado_training
Training,0,167,nao_usado_training
Training,0,329,nao_usado_training
Training,0,493,nao_usado_training
Training,0,135,nao_usado_training
Training,0,307,nao_usado_training
Training,0,481,nao_usado_training
Training,0,320,nao_usado_training
Training,0,244,nao_usado_training
Training,0,55,nao_usado_training
Training,0,364,nao_usado_training
Training,0,51,nao_usado_training
Training,0,457,nao_usado_training
Training,0,175,nao_usado_training
Training,0,446,nao_usado_training
Training,0,190,nao_usado_training
Training,0,497,nao_usado_training
Training,0,188,nao_usado_training
Training,0,170,nao_usado_training
Training,0,59,nao_usado_training
Training,0,49,nao_usado_training
Training,0,345,nao_usado_training
Training,0,236,nao_usado_training
Training,0,253,nao_usado_training
Training,0,22,nao_usado_training
Training,0,314,nao_usado_training
Training,0,460,nao_usado_training
Training,0,161,nao_usado_training
Training,0,277,nao_usado_training
Training,0,444,nao_usado_training
Training,0,192,nao_usado_training
Training,0,386,nao_usado_training
Training,0,294,nao_usado_training
Training,0,414,nao_usado_training
Training,0,344,nao_usado_training
Training,0,258,nao_usado_training
Training,0,309,nao_usado_training
Training,0,150,nao_usado_training
Training,0,131,nao_usado_training
Training,0,152,nao_usado_training
Training,0,360,nao_usado_training
