modelo,seed,params,n_treino,n_teste,tempo_treino_s,tempo_inferencia_total_s,tempo_inferencia_por_amostra_us,tamanho_modelo_bytes,pico_memoria_MB,acuracia,acuracia_balanceada,f1_macro,f1_ponderada,mcc,hardware,n_jobs,rotulo_run_acuracia,rotulo_run_f1_macro,rotulo_run_mcc,n_iter,max_iter,modelo_nome
arvore_decisao,123,"{'min_samples_leaf': 20, 'max_depth': None}",1050000,10080000,83.19,1.61,0.159,1842827,1730.3,0.672005753968254,0.7398012316849817,0.7405925163759448,0.6895019286293373,0.6563727136236305,Apple M3 8GB (4P+4E),4,,,,,,Árvore de Decisão
arvore_decisao,2024,"{'min_samples_leaf': 20, 'max_depth': None}",1050000,10080000,83.13,1.66,0.165,1842679,1733.1,0.672241369047619,0.740093489010989,0.7408592484422332,0.6897152260793985,0.6566258688116164,Apple M3 8GB (4P+4E),4,,,,,,Árvore de Decisão
arvore_decisao,42,"{'min_samples_leaf': 20, 'max_depth': None}",1050000,10080000,83.05,1.59,0.157,1843031,1896.9,0.6721329365079365,0.7399677930402933,0.7407561710182792,0.6896296912141308,0.6565136105541934,Apple M3 8GB (4P+4E),4,,,,,,Árvore de Decisão
arvore_decisao,555,"{'min_samples_leaf': 20, 'max_depth': None}",1050000,10080000,85.31,1.63,0.162,1842914,1796.7,0.6721794642857143,0.7399780494505495,0.7407688928628585,0.6896679198073913,0.6565486489637091,Apple M3 8GB (4P+4E),4,,,,,,Árvore de Decisão
arvore_decisao,7,"{'min_samples_leaf': 20, 'max_depth': None}",1050000,10080000,85.01,1.67,0.165,1843004,1576.3,0.6719968253968254,0.7397692673992675,0.7405952471192879,0.6895160179773339,0.6563576736201489,Apple M3 8GB (4P+4E),4,,,,,,Árvore de Decisão
gradient_boosting,123,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",1050000,10080000,291.32,444.22,44.069,6873859,1848.0,0.7245510912698413,0.7651524633699635,0.7627689510905775,0.7341907936111168,0.7069580520707244,Apple M3 8GB (4P+4E),4,0.6392521825396825,0.6798237200143411,0.626199723141289,,,Gradient Boosting
gradient_boosting,2024,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",1050000,10080000,280.0,423.58,42.022,6900678,1469.0,0.6197811507936508,0.6609469963369964,0.6693205226856612,0.6435962770401076,0.604267202168043,Apple M3 8GB (4P+4E),4,0.5535801587301588,0.5957758842649046,0.5390903097520297,,,Gradient Boosting
gradient_boosting,42,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",1050000,10080000,303.17,447.66,44.411,6910979,1525.0,0.7103188492063492,0.7517918498168498,0.7493135394287102,0.7205165784397557,0.6918091319287123,Apple M3 8GB (4P+4E),4,0.6281824404761904,0.6683831918879679,0.6139648683411949,,,Gradient Boosting
gradient_boosting,555,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",1050000,10080000,287.46,435.62,43.216,6914007,1645.0,0.563175,0.5661125,0.5969201329005933,0.5845722557967524,0.5275598552036918,Apple M3 8GB (4P+4E),4,0.4756948412698413,0.5276195781471964,0.4584415495545194,,,Gradient Boosting
gradient_boosting,7,"{'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",1050000,10080000,295.35,430.45,42.703,6920719,1472.3,0.7122868055555556,0.7515055128205128,0.7516625355450943,0.723757499468466,0.6935993009662877,Apple M3 8GB (4P+4E),4,0.6280212301587301,0.6699195275626111,0.6142398035575148,,,Gradient Boosting
random_forest,123,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3}",1050000,10080000,1289.39,97.74,9.696,300028595,1534.8,0.7444053571428572,0.7896974862637363,0.7931852927686204,0.7585057055816489,0.7278256146740717,Apple M3 8GB (4P+4E),4,0.6595626984126984,0.7072334643085425,0.6475102466845384,,,Random Forest
random_forest,2024,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3}",1050000,10080000,1264.88,95.19,9.443,300263723,1462.6,0.7455880952380952,0.7902603296703297,0.793916521884343,0.7596268359592262,0.7289826196311878,Apple M3 8GB (4P+4E),4,0.6599371031746032,0.7077299458903972,0.6479811247282727,,,Random Forest
random_forest,42,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3}",1050000,10080000,1224.71,95.37,9.461,299977852,1404.8,0.7452877976190476,0.7900851648351648,0.7937420607228562,0.7593596168117456,0.7286871875733361,Apple M3 8GB (4P+4E),4,0.6598284722222222,0.7076098625160235,0.64785911148803,,,Random Forest
random_forest,555,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3}",1050000,10080000,1281.86,100.38,9.958,300269077,1574.6,0.7453939484126985,0.7901080265567766,0.7936987628077506,0.7594158460489896,0.728790351243173,Apple M3 8GB (4P+4E),4,0.659790873015873,0.7075391039416462,0.6478132269597623,,,Random Forest
random_forest,7,"{'n_estimators': 200, 'min_samples_leaf': 20, 'max_features': 0.3}",1050000,10080000,1269.94,99.18,9.839,300168176,1420.5,0.7452753968253968,0.7901669184981686,0.7937451674730799,0.759370792119941,0.728693835563499,Apple M3 8GB (4P+4E),4,0.6598244047619047,0.707598595808864,0.6478134688146103,,,Random Forest
