modelo,metrica,estimativa,ic95_inf,ic95_sup,largura
Regressão Logística,f1_macro,0.4749,0.4738,0.4759,0.0021
Regressão Logística,mcc,0.553,0.552,0.554,0.002
Árvore de Decisão,f1_macro,0.7407,0.7398,0.7416,0.0019
Árvore de Decisão,mcc,0.6565,0.6556,0.6573,0.0017
Random Forest,f1_macro,0.7937,0.7928,0.7945,0.0017
Random Forest,mcc,0.7286,0.7276,0.7295,0.0019
Gradient Boosting,f1_macro,0.701,0.7002,0.7018,0.0016
Gradient Boosting,mcc,0.6435,0.6427,0.6443,0.0017
XGBoost,f1_macro,0.8172,0.8165,0.8179,0.0014
XGBoost,mcc,0.7496,0.7487,0.7504,0.0017
SVM (Nyström),f1_macro,0.4966,0.4957,0.4975,0.0019
SVM (Nyström),mcc,0.4862,0.4852,0.4872,0.0021
