,count,mean,std,min,25%,50%,75%,max,cv
xmeas_1,1050000.0,0.261,0.1463,-0.0043,0.2191,0.2511,0.2826,1.0161,0.5604
xmeas_2,1050000.0,3663.7446,42.8884,3358.5,3636.6001,3663.3,3690.2,3906.7,0.0117
xmeas_3,1050000.0,4505.9492,108.4486,3603.8999,4469.8999,4508.5,4547.2002,5119.3999,0.0241
xmeas_4,1050000.0,9.3711,0.3631,6.6399,9.266,9.3548,9.4528,12.012,0.0388
xmeas_5,1050000.0,26.9014,0.2312,25.426,26.759,26.899,27.044,28.435,0.0086
xmeas_6,1050000.0,42.3641,0.3163,39.854,42.182,42.346,42.523,44.459,0.0075
xmeas_7,1050000.0,2722.1118,74.3639,2433.6001,2697.8,2705.5,2714.5,3000.3,0.0273
xmeas_8,1050000.0,74.8794,1.3316,62.301,74.438,74.954,75.437,86.435,0.0178
xmeas_9,1050000.0,120.4001,0.0712,119.63,120.38,120.4,120.42,120.97,0.0006
xmeas_10,1050000.0,0.3461,0.0839,0.0184,0.3235,0.3364,0.3485,0.8207,0.2424
xmeas_11,1050000.0,79.7625,1.7566,68.297,79.809,80.093,80.354,87.168,0.022
xmeas_12,1050000.0,49.9897,1.0013,45.229,49.301,50.014,50.642,54.643,0.02
xmeas_13,1050000.0,2650.0554,74.9535,2341.3999,2625.3,2633.8999,2643.3,2945.0,0.0283
xmeas_14,1050000.0,25.1268,1.1052,19.579,24.405,25.137,25.865,31.994,0.044
xmeas_15,1050000.0,49.9585,1.018,45.22,49.285,49.918,50.647,55.81,0.0204
xmeas_16,1050000.0,3120.384,77.0377,2876.6001,3096.1001,3102.6001,3110.3,3450.3999,0.0247
xmeas_17,1050000.0,22.9377,0.6478,19.137,22.497,22.939,23.375,26.887,0.0282
xmeas_18,1050000.0,66.004,1.8227,53.34,65.416,65.836,66.477,74.669,0.0276
xmeas_19,1050000.0,245.5872,68.1963,-3.3752,223.51,233.07,248.16,466.36,0.2777
xmeas_20,1050000.0,340.4109,11.0827,247.45,339.3,341.28,342.95,397.74,0.0326
xmeas_21,1050000.0,94.4443,1.2711,79.898,94.436,94.591,94.744,100.01,0.0135
xmeas_22,1050000.0,77.0469,1.3808,63.144,76.991,77.27,77.529,83.434,0.0179
xmeas_23,1050000.0,31.9724,1.7458,23.515,31.897,32.178,32.446,39.496,0.0546
xmeas_24,1050000.0,8.879,0.2217,7.5188,8.7944,8.8886,8.978,10.345,0.025
xmeas_25,1050000.0,26.77,1.921,18.832,26.127,26.419,26.746,36.388,0.0718
xmeas_26,1050000.0,6.8736,0.1335,5.9126,6.7974,6.8785,6.9571,7.7554,0.0194
xmeas_27,1050000.0,18.7106,0.9465,12.322,18.514,18.78,19.047,26.461,0.0506
xmeas_28,1050000.0,1.6287,0.1244,0.9141,1.6282,1.6548,1.6778,2.0977,0.0764
xmeas_29,1050000.0,32.6404,2.621,20.219,32.604,32.941,33.263,44.299,0.0803
xmeas_30,1050000.0,13.8004,0.287,12.022,13.709,13.815,13.912,15.613,0.0208
xmeas_31,1050000.0,24.5646,2.9578,12.543,23.657,24.02,24.432,39.038,0.1204
xmeas_32,1050000.0,1.2525,0.1463,0.3398,1.1777,1.2576,1.3364,2.6509,0.1168
xmeas_33,1050000.0,18.4714,1.3251,9.9081,18.265,18.579,18.882,29.271,0.0717
xmeas_34,1050000.0,2.2221,0.1699,1.2958,2.2318,2.261,2.2862,2.8498,0.0765
xmeas_35,1050000.0,4.7824,0.3406,3.2247,4.7719,4.8423,4.9081,6.3638,0.0712
xmeas_36,1050000.0,2.2654,0.1818,1.3631,2.244,2.2963,2.3452,3.0338,0.0802
xmeas_37,1050000.0,0.018,0.0102,-0.0255,0.0111,0.0179,0.0248,0.0669,0.5672
xmeas_38,1050000.0,0.8393,0.0907,0.4096,0.8179,0.836,0.8554,1.6086,0.1081
xmeas_39,1050000.0,0.0974,0.0132,0.0264,0.0901,0.0982,0.1058,0.1664,0.1358
xmeas_40,1050000.0,53.7492,0.5816,50.541,53.377,53.745,54.124,56.672,0.0108
xmeas_41,1050000.0,43.7903,0.6101,40.414,43.412,43.807,44.181,46.932,0.0139
xmv_1,1050000.0,63.5157,3.328,55.591,62.63,63.086,63.558,100.0,0.0524
xmv_2,1050000.0,54.3049,5.1589,33.245,53.507,53.971,54.434,100.0,0.095
xmv_3,1050000.0,30.1713,20.0462,-0.2187,22.299,25.175,28.648,100.15,0.6644
xmv_4,1050000.0,63.1949,7.3076,13.513,60.328,61.493,62.797,100.02,0.1156
xmv_5,1050000.0,22.6688,10.1363,-0.0891,21.447,22.13,22.719,100.09,0.4471
xmv_6,1050000.0,39.9337,12.6403,0.0,38.364,39.975,41.485,97.048,0.3165
xmv_7,1050000.0,38.0696,2.9468,24.058,36.044,38.141,39.991,51.764,0.0774
xmv_8,1050000.0,46.438,2.3559,35.471,44.88,46.345,48.032,59.98,0.0507
xmv_9,1050000.0,50.448,17.2282,-0.3428,45.544,48.032,51.655,100.49,0.3415
xmv_10,1050000.0,41.7587,9.7373,-0.21,40.585,41.195,41.899,100.32,0.2332
xmv_11,1050000.0,18.7063,4.8813,-0.0046,17.121,18.266,19.49,100.01,0.2609
