,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
1,15.683,0.186,0.617,6.194,0.003,0.214,0.874,0.217,0.001,1.48,0.434,0.002,0.81,0.022,0.054,1.174,0.001,5.903,5.06,0.861,0.407,0.4,0.789,0.033,0.679,0.005,0.025,1.169,1.015,0.115,0.919,0.047,0.028,1.401,0.334,0.317,0.02,0.04,0.134,0.187,0.063,0.182,0.61,15.682,2.772,0.229,1.39,0.002,0.054,5.982,0.222,0.05
2,0.937,0.876,3.449,2.976,0.003,1.412,0.015,0.098,0.008,26.491,3.605,0.142,0.065,0.295,0.023,0.549,0.033,5.83,7.987,0.227,1.083,5.722,0.044,1.868,0.929,0.042,0.286,18.596,0.387,2.152,0.989,0.043,0.228,23.955,2.46,1.548,0.007,0.08,2.679,0.036,0.068,0.89,3.436,0.937,1.328,1.029,25.819,0.142,0.023,6.997,0.602,0.687
3,0.001,0.01,0.013,0.002,0.001,0.002,0.029,0.003,0.002,0.002,0.028,0.007,0.029,0.0,0.0,0.027,0.007,0.008,0.002,0.018,0.249,0.006,0.001,0.021,0.012,0.001,0.002,0.016,0.012,0.001,0.012,0.012,0.017,0.028,0.025,0.004,0.004,0.001,0.009,0.004,0.016,0.008,0.008,0.002,0.0,0.023,0.0,0.007,0.0,0.0,0.136,0.006
4,0.001,0.019,0.018,0.003,0.002,0.008,0.02,0.004,0.002,0.002,0.025,0.002,0.019,0.005,0.004,0.021,0.001,0.042,0.057,0.003,0.011,0.014,0.001,0.018,0.005,0.0,0.001,0.005,0.005,0.001,0.016,0.005,0.002,0.012,0.027,0.003,0.002,0.003,0.001,0.019,0.014,0.016,0.008,0.001,0.003,0.009,0.004,0.002,0.004,0.055,6.711,0.003
5,0.004,0.096,0.216,0.153,0.002,0.101,0.141,0.006,0.006,0.053,0.491,0.017,0.13,0.043,0.034,0.195,0.052,0.131,0.421,0.117,0.218,0.327,0.007,0.052,0.093,0.0,0.002,0.06,0.019,0.006,0.117,0.015,0.023,0.057,0.35,0.17,0.004,0.002,0.016,0.055,0.048,0.089,0.221,0.003,0.068,0.001,0.026,0.017,0.034,0.246,0.124,1.769
6,7.738,1.271,5.416,2.768,0.125,0.225,32.936,1.422,0.023,8.37,24.414,0.25,30.536,0.319,0.351,44.554,0.261,2.9,18.586,18.191,7.339,13.177,22.329,1.813,24.198,0.251,1.213,5.142,29.171,2.75,31.182,0.643,0.497,9.173,16.885,11.492,0.404,9.748,0.629,1.351,1.849,4.218,12.147,23.177,13.737,3.405,17.51,0.25,0.351,16.111,9.484,5.469
7,0.027,0.06,0.039,0.054,0.006,0.01,0.099,0.442,0.006,0.04,0.153,0.002,0.099,0.002,0.005,0.073,0.008,0.737,0.873,0.21,0.074,0.105,0.123,0.033,0.155,0.002,0.001,0.132,0.212,0.002,0.173,0.007,0.004,0.154,0.027,0.021,0.015,0.004,0.012,0.014,0.004,0.046,0.03,0.028,11.715,0.121,0.037,0.002,0.005,1.266,0.029,0.011
8,0.361,0.043,0.011,0.147,0.002,0.003,0.29,0.006,0.005,0.007,0.184,0.005,0.224,0.002,0.003,0.702,0.011,0.685,0.639,0.96,0.052,0.18,1.133,0.029,1.177,0.0,0.0,0.608,1.545,0.025,1.492,0.01,0.012,0.809,0.234,0.165,0.004,0.024,0.055,0.001,0.016,0.04,0.018,0.362,0.07,0.871,0.127,0.005,0.003,1.188,0.036,0.032
9,0.004,0.009,0.003,0.001,0.001,0.0,0.013,0.003,0.006,0.013,0.011,0.0,0.012,0.011,0.005,0.014,0.001,0.025,0.032,0.001,0.002,0.007,0.002,0.013,0.004,0.001,0.003,0.004,0.007,0.003,0.018,0.007,0.005,0.014,0.01,0.001,0.001,0.0,0.011,0.003,0.006,0.001,0.006,0.004,0.003,0.005,0.014,0.0,0.005,0.034,0.004,0.002
10,0.003,0.004,0.014,0.009,0.004,0.001,0.003,0.002,0.002,0.015,0.007,0.009,0.003,0.004,0.005,0.002,0.002,0.093,0.024,0.012,0.008,0.009,0.002,0.02,0.008,0.001,0.001,0.01,0.016,0.001,0.008,0.001,0.013,0.01,0.005,0.002,0.017,0.001,0.005,0.002,0.009,0.003,0.008,0.003,0.006,0.003,0.014,0.009,0.005,0.095,0.009,0.001
