,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.3331,0.0,0.0009,0.1894,0.0,0.0023,0.0,0.0,0.0018,0.1909,0.0116,0.009,0.0004,0.0012,0.0,0.1891,0.0069,0.0024,0.0035,0.0301,0.0274
1,0.0005,0.9843,0.0001,0.0004,0.0,0.0,0.0,0.0,0.0115,0.0005,0.0002,0.0,0.0002,0.0004,0.0,0.0007,0.0001,0.0,0.0,0.0005,0.0006
2,0.0036,0.0,0.9816,0.0025,0.0,0.0001,0.0,0.0,0.0021,0.0034,0.0007,0.0002,0.0,0.0002,0.0,0.0034,0.0003,0.0,0.0001,0.001,0.001
3,0.2431,0.0001,0.0007,0.2176,0.0,0.0025,0.0,0.0,0.0021,0.2096,0.0193,0.0095,0.0006,0.0008,0.0001,0.21,0.0101,0.0053,0.0026,0.0322,0.0337
4,0.0004,0.0,0.0,0.0002,0.9743,0.0,0.0,0.0,0.0001,0.0002,0.0001,0.0239,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0001,0.0002
5,0.0231,0.0001,0.0001,0.0129,0.0,0.8778,0.0,0.0001,0.0059,0.0146,0.0085,0.0021,0.0193,0.0034,0.0,0.0138,0.0029,0.0005,0.0017,0.007,0.0062
6,0.0001,0.0,0.0,0.0,0.0,0.0,0.9984,0.0,0.0005,0.0001,0.0001,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0002
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.0004,0.0,0.0,0.0,0.0006,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0,0.0
8,0.0081,0.0093,0.0042,0.0067,0.0001,0.0084,0.0001,0.0004,0.797,0.0077,0.0171,0.0008,0.0676,0.0447,0.0001,0.008,0.0032,0.0012,0.0054,0.0041,0.006
9,0.248,0.0001,0.0008,0.2004,0.0,0.0025,0.0,0.0,0.0022,0.2139,0.0202,0.0101,0.0007,0.0009,0.0001,0.2164,0.0106,0.0033,0.0027,0.0333,0.0337
10,0.0395,0.0003,0.0002,0.0333,0.0,0.0057,0.0002,0.0,0.0122,0.0432,0.7303,0.0031,0.0149,0.0059,0.0001,0.0428,0.0275,0.0023,0.0007,0.0152,0.0227
11,0.0386,0.0,0.0002,0.0285,0.056,0.0007,0.0,0.0,0.0007,0.0309,0.0055,0.7677,0.0006,0.0003,0.0034,0.031,0.0026,0.0112,0.0005,0.0141,0.0073
12,0.0036,0.0004,0.0001,0.0028,0.0001,0.0132,0.0001,0.001,0.0627,0.0035,0.0196,0.0022,0.7802,0.0299,0.0003,0.0039,0.0027,0.0022,0.0614,0.0027,0.0075
13,0.013,0.0002,0.0007,0.011,0.0002,0.0066,0.0004,0.007,0.0551,0.012,0.0131,0.0035,0.0548,0.7818,0.0001,0.0122,0.0024,0.0008,0.0188,0.0029,0.0035
14,0.0003,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0002,0.0003,0.0004,0.0028,0.0003,0.0001,0.9756,0.0003,0.0003,0.018,0.0002,0.0007,0.0003
15,0.2444,0.0001,0.0008,0.1968,0.0,0.0026,0.0,0.0,0.0024,0.2116,0.0229,0.01,0.001,0.0009,0.0001,0.2178,0.0112,0.0028,0.0028,0.0335,0.038
16,0.0373,0.0001,0.0001,0.0325,0.0,0.0021,0.0,0.0,0.0028,0.0385,0.0556,0.0032,0.002,0.0009,0.0,0.0383,0.7431,0.0012,0.0004,0.0272,0.0147
17,0.0151,0.0,0.0001,0.017,0.0,0.0005,0.0,0.0,0.0012,0.0135,0.0059,0.0129,0.0012,0.0007,0.014,0.0134,0.0018,0.8946,0.0004,0.0036,0.0042
18,0.0162,0.0001,0.0001,0.0134,0.0,0.0023,0.0,0.0005,0.0041,0.0135,0.0039,0.0009,0.0619,0.0036,0.0,0.0145,0.0011,0.0004,0.8578,0.0027,0.003
19,0.0515,0.0001,0.0003,0.04,0.0,0.0015,0.0,0.0,0.0019,0.0421,0.0116,0.0178,0.0006,0.0004,0.0004,0.0426,0.0288,0.0032,0.0006,0.7313,0.0253
20,0.0615,0.0002,0.0004,0.0536,0.0,0.0036,0.0001,0.0,0.0045,0.0571,0.0243,0.0046,0.0064,0.0009,0.0001,0.0608,0.0087,0.0023,0.0012,0.028,0.6818
