,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.5006,0.0009,0.0007,0.182,0.0421,0.0024,0.001,0.0155,0.0017,0.0802,0.0075,0.016,0.0035,0.0011,0.002,0.0969,0.0048,0.0072,0.001,0.022,0.0108
1,0.0075,0.9457,0.0,0.0016,0.0116,0.0004,0.006,0.0002,0.0142,0.001,0.0006,0.0007,0.0041,0.002,0.0001,0.0009,0.0004,0.0005,0.0006,0.0003,0.0016
2,0.0058,0.0001,0.8929,0.0018,0.0664,0.0004,0.0,0.0087,0.0049,0.0025,0.0003,0.0091,0.0022,0.0005,0.0001,0.0027,0.0002,0.0006,0.0001,0.0005,0.0004
3,0.3153,0.0008,0.0005,0.3023,0.0427,0.0029,0.0011,0.0112,0.002,0.1089,0.0141,0.0164,0.0044,0.0013,0.002,0.1192,0.0059,0.0094,0.0009,0.0247,0.0139
4,0.0161,0.0003,0.0001,0.0015,0.9094,0.0015,0.0002,0.0118,0.0046,0.0169,0.0017,0.0201,0.0035,0.0013,0.0019,0.001,0.0007,0.005,0.0004,0.0012,0.0005
5,0.0442,0.0013,0.0002,0.0078,0.0355,0.822,0.0014,0.0101,0.0033,0.0121,0.0036,0.004,0.0191,0.0027,0.0019,0.0142,0.0036,0.0063,0.0025,0.0022,0.002
6,0.0015,0.0007,0.0,0.0003,0.0002,0.0002,0.9858,0.001,0.0026,0.0003,0.0001,0.0006,0.0021,0.0016,0.0002,0.0005,0.0001,0.0009,0.0003,0.0003,0.001
7,0.0029,0.0004,0.0009,0.0266,0.0117,0.0014,0.0063,0.7666,0.0071,0.0009,0.011,0.0239,0.0191,0.0044,0.0071,0.0275,0.0129,0.0057,0.0189,0.0374,0.0072
8,0.0149,0.0167,0.0065,0.022,0.0153,0.0116,0.0056,0.0093,0.7359,0.016,0.0077,0.0063,0.0503,0.0309,0.0031,0.0141,0.003,0.0098,0.0094,0.0039,0.0076
9,0.3522,0.001,0.0006,0.2206,0.0427,0.0029,0.0011,0.0125,0.002,0.1298,0.0149,0.0173,0.0044,0.0013,0.0019,0.1397,0.0059,0.0082,0.0009,0.0254,0.0147
10,0.0724,0.0026,0.0002,0.041,0.0383,0.005,0.0006,0.0091,0.0031,0.0437,0.6839,0.0081,0.0093,0.0036,0.0018,0.0431,0.0093,0.0072,0.0006,0.0088,0.0081
11,0.0584,0.0005,0.0003,0.0211,0.1049,0.0022,0.0014,0.0115,0.0041,0.0217,0.0042,0.708,0.0062,0.0012,0.0087,0.0215,0.0024,0.0102,0.0014,0.0073,0.0028
12,0.0121,0.0055,0.0011,0.0146,0.0111,0.0191,0.0027,0.0119,0.0227,0.0121,0.0125,0.0071,0.6928,0.0306,0.0082,0.0097,0.0036,0.0115,0.097,0.0039,0.0103
13,0.0313,0.0087,0.0018,0.0212,0.0193,0.0099,0.0045,0.0066,0.0314,0.0194,0.0119,0.0059,0.05,0.6991,0.0052,0.0131,0.0037,0.0116,0.0336,0.0044,0.0076
14,0.0049,0.0002,0.0001,0.0064,0.0182,0.0021,0.0002,0.0045,0.0024,0.0085,0.0011,0.0096,0.0029,0.0007,0.9082,0.0023,0.001,0.0212,0.0032,0.0009,0.0013
15,0.3435,0.001,0.0006,0.2106,0.0427,0.003,0.0011,0.0124,0.002,0.1293,0.0168,0.0171,0.0049,0.0013,0.0019,0.1524,0.0062,0.0076,0.0012,0.0254,0.0189
16,0.0732,0.0017,0.0002,0.0341,0.0411,0.0033,0.0007,0.0105,0.002,0.0315,0.0518,0.0081,0.0046,0.002,0.0018,0.0381,0.6745,0.0069,0.0005,0.0083,0.005
17,0.0181,0.0003,0.0002,0.0202,0.0143,0.002,0.0002,0.001,0.0019,0.0134,0.0032,0.0088,0.0031,0.0008,0.0142,0.014,0.0019,0.8765,0.0007,0.0027,0.0025
18,0.0232,0.0009,0.0004,0.0166,0.0047,0.0051,0.0045,0.0091,0.0046,0.0097,0.0016,0.0025,0.047,0.0151,0.0058,0.0117,0.0009,0.005,0.8258,0.0024,0.0035
19,0.07,0.0006,0.0003,0.0212,0.0426,0.0027,0.0013,0.0111,0.0019,0.0202,0.0064,0.0155,0.0037,0.0012,0.0019,0.0215,0.014,0.0088,0.0007,0.7492,0.005
20,0.0701,0.0007,0.0003,0.0379,0.031,0.0028,0.0018,0.0119,0.0021,0.0318,0.0144,0.0108,0.0047,0.0017,0.0015,0.0378,0.0035,0.0064,0.0008,0.0084,0.7197
