,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.5208,0.0,0.0001,0.1806,0.0,0.0002,0.0,0.0,0.0002,0.1029,0.0069,0.008,0.0,0.0001,0.0,0.1383,0.0012,0.0006,0.0001,0.0247,0.0153
1,0.0008,0.9877,0.0,0.0001,0.0,0.0,0.0,0.0,0.0087,0.0005,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0002,0.0011
2,0.0046,0.0,0.9847,0.0013,0.0,0.0,0.0,0.0,0.0019,0.0025,0.0003,0.0002,0.0,0.0001,0.0,0.0032,0.0,0.0,0.0,0.0006,0.0006
3,0.3282,0.0,0.0001,0.2737,0.0,0.0002,0.0,0.0,0.0003,0.1432,0.0156,0.0088,0.0001,0.0001,0.0,0.1752,0.0026,0.0024,0.0001,0.0278,0.0215
4,0.0001,0.0,0.0,0.0,0.9848,0.0,0.0,0.0,0.0,0.0,0.0001,0.0149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001
5,0.023,0.0,0.0,0.0007,0.0,0.9459,0.0,0.0,0.0005,0.0009,0.0043,0.0013,0.0136,0.0002,0.0,0.0014,0.0003,0.0002,0.0001,0.0056,0.0021
6,0.0001,0.0,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0085,0.0045,0.0015,0.0054,0.0,0.0008,0.0,0.0001,0.9099,0.004,0.0088,0.0005,0.0344,0.0101,0.0,0.0058,0.0003,0.0007,0.0002,0.0019,0.0028
9,0.3489,0.0,0.0001,0.2104,0.0,0.0002,0.0,0.0,0.0004,0.1635,0.0167,0.0097,0.0001,0.0001,0.0,0.1953,0.0027,0.0014,0.0001,0.0285,0.0221
10,0.0333,0.0,0.0,0.026,0.0,0.0007,0.0,0.0,0.0017,0.0278,0.8369,0.0024,0.0058,0.0009,0.0,0.0373,0.0045,0.0009,0.0,0.01,0.0119
11,0.0466,0.0,0.0,0.0246,0.058,0.0001,0.0,0.0,0.0001,0.0192,0.0041,0.8025,0.0001,0.0,0.0017,0.0253,0.0005,0.0061,0.0,0.0069,0.0042
12,0.0033,0.0,0.0,0.002,0.0,0.0077,0.0,0.0001,0.007,0.0017,0.017,0.0008,0.8942,0.0038,0.0,0.0029,0.0003,0.0004,0.0527,0.0012,0.0048
13,0.0167,0.0,0.0,0.0119,0.0,0.0015,0.0,0.0055,0.0204,0.0086,0.0145,0.001,0.0361,0.8539,0.0,0.0119,0.0004,0.0007,0.0131,0.0019,0.0017
14,0.0002,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0013,0.0,0.0,0.9761,0.0001,0.0,0.0216,0.0,0.0004,0.0001
15,0.3421,0.0,0.0001,0.2023,0.0,0.0002,0.0,0.0,0.0004,0.1607,0.0202,0.0093,0.0004,0.0001,0.0,0.2049,0.003,0.0011,0.0003,0.0286,0.0261
16,0.0301,0.0,0.0,0.0245,0.0,0.0002,0.0,0.0,0.0002,0.0221,0.0648,0.0024,0.0005,0.0001,0.0,0.028,0.8033,0.0007,0.0,0.0138,0.0092
17,0.0171,0.0,0.0,0.0225,0.0,0.0,0.0,0.0,0.0,0.0073,0.0043,0.0092,0.0003,0.0001,0.0052,0.0095,0.0004,0.92,0.0,0.0024,0.0018
18,0.022,0.0,0.0,0.0132,0.0,0.0006,0.0,0.0001,0.0007,0.0094,0.0017,0.0006,0.0382,0.0002,0.0,0.0135,0.0002,0.0001,0.8963,0.0019,0.0014
19,0.0285,0.0,0.0,0.0179,0.0,0.0001,0.0,0.0,0.0001,0.0134,0.0073,0.017,0.0001,0.0,0.0,0.0174,0.0197,0.0027,0.0,0.8684,0.0072
20,0.0613,0.0,0.0,0.0443,0.0,0.0008,0.0,0.0,0.0004,0.0343,0.0237,0.0042,0.0024,0.0002,0.0,0.0496,0.0018,0.001,0.0001,0.0119,0.7641
