,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.5076,0.0,0.0002,0.2032,0.0,0.0,0.0,0.0,0.0003,0.1142,0.005,0.0108,0.0002,0.0003,0.0,0.1316,0.0007,0.0008,0.0008,0.0167,0.0075
1,0.0006,0.9909,0.0,0.0001,0.0,0.0,0.0,0.0,0.0056,0.0007,0.0,0.0001,0.0,0.0002,0.0,0.0007,0.0,0.0,0.0,0.0001,0.0009
2,0.0037,0.0,0.9862,0.0014,0.0,0.0,0.0,0.0,0.0021,0.0028,0.0001,0.0002,0.0,0.0001,0.0,0.0028,0.0,0.0,0.0,0.0003,0.0002
3,0.3037,0.0,0.0002,0.3389,0.0,0.0,0.0,0.0,0.0004,0.1446,0.0113,0.011,0.0002,0.0003,0.0,0.157,0.0014,0.0026,0.0007,0.0182,0.0095
4,0.0,0.0,0.0,0.0,0.9885,0.0,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.9886,0.0,0.0,0.0,0.0,0.0001,0.0,0.0108,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0071,0.0032,0.0006,0.0061,0.0,0.0,0.0,0.0,0.9417,0.0046,0.0044,0.0004,0.0172,0.0066,0.0,0.0056,0.0002,0.0003,0.0,0.0008,0.0012
9,0.3338,0.0,0.0002,0.2437,0.0,0.0,0.0,0.0,0.0004,0.1785,0.0122,0.0124,0.0002,0.0004,0.0,0.1851,0.0015,0.0015,0.0007,0.0191,0.0102
10,0.0322,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0007,0.0323,0.8434,0.0026,0.0032,0.0007,0.0,0.0399,0.0043,0.0003,0.0001,0.0048,0.0046
11,0.031,0.0,0.0,0.0213,0.0549,0.0,0.0,0.0,0.0001,0.0155,0.0019,0.8475,0.0001,0.0,0.0005,0.018,0.0002,0.0032,0.0001,0.0042,0.0015
12,0.0028,0.0,0.0,0.002,0.0,0.0043,0.0,0.0,0.0027,0.0015,0.0086,0.0004,0.9326,0.002,0.0,0.0034,0.0003,0.0001,0.0359,0.0004,0.003
13,0.0152,0.0,0.0001,0.0134,0.0,0.0,0.0,0.0,0.0105,0.0091,0.0085,0.0008,0.0184,0.8987,0.0,0.0108,0.0002,0.0006,0.0118,0.0011,0.0007
14,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0016,0.0,0.0,0.9834,0.0,0.0,0.0146,0.0,0.0,0.0
15,0.3254,0.0,0.0002,0.2295,0.0,0.0,0.0,0.0,0.0005,0.1746,0.0146,0.0121,0.0005,0.0004,0.0,0.2052,0.0018,0.0009,0.0013,0.0191,0.0138
16,0.0318,0.0,0.0,0.0276,0.0,0.0,0.0,0.0,0.0001,0.0229,0.0571,0.0023,0.0002,0.0001,0.0,0.0284,0.8218,0.0002,0.0001,0.0047,0.0025
17,0.0127,0.0,0.0,0.0177,0.0,0.0,0.0,0.0,0.0,0.0062,0.001,0.0053,0.0001,0.0,0.0072,0.0074,0.0001,0.9407,0.0,0.0011,0.0005
18,0.0198,0.0,0.0,0.0137,0.0,0.0003,0.0,0.0,0.0,0.0097,0.0006,0.0007,0.0073,0.0001,0.0,0.0125,0.0001,0.0,0.9334,0.0012,0.0006
19,0.0213,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.0001,0.0113,0.0026,0.0059,0.0001,0.0001,0.0,0.0123,0.0089,0.001,0.0002,0.9164,0.0027
20,0.0321,0.0,0.0,0.0279,0.0,0.0,0.0,0.0,0.0002,0.0214,0.0087,0.0026,0.0012,0.0001,0.0,0.0264,0.0005,0.0002,0.0004,0.0036,0.8745
