seed,modelo,A_acuracia,A_acuracia_balanceada,A_f1_macro,A_mcc,B_acuracia,B_acuracia_balanceada,B_f1_macro,B_mcc,delta_acuracia,delta_acuracia_balanceada,delta_f1_macro,delta_mcc,tempo_s
42,DT_leaf50,0.6963,0.7012,0.7122,0.6807,0.7174,0.7216,0.7324,0.7028,0.021,0.0204,0.0202,0.0222,34.7
42,DT_leaf1_sem_poda,0.6906,0.6984,0.6994,0.6746,0.7239,0.7317,0.7331,0.7096,0.0334,0.0332,0.0337,0.035,43.8
42,RF50_leaf50,0.7498,0.7524,0.7612,0.7378,0.7678,0.769,0.7766,0.7575,0.018,0.0166,0.0154,0.0197,52.1
42,RF50_leaf1_sem_poda,0.7612,0.7666,0.7762,0.7491,0.7934,0.7975,0.8068,0.7832,0.0321,0.0309,0.0306,0.034,74.8
123,DT_leaf50,0.6979,0.7027,0.7141,0.6823,0.7136,0.7182,0.7286,0.6989,0.0158,0.0155,0.0145,0.0166,66.4
123,DT_leaf1_sem_poda,0.6927,0.7007,0.7017,0.6768,0.7205,0.7284,0.7298,0.706,0.0278,0.0277,0.0281,0.0292,76.6
123,RF50_leaf50,0.7497,0.7511,0.7579,0.7384,0.7625,0.7635,0.7706,0.7522,0.0128,0.0124,0.0127,0.0138,67.5
123,RF50_leaf1_sem_poda,0.7608,0.7659,0.775,0.7487,0.7902,0.7946,0.804,0.7798,0.0295,0.0287,0.029,0.0312,96.7
2024,DT_leaf50,0.6978,0.703,0.7143,0.6822,0.7141,0.7193,0.7299,0.6994,0.0164,0.0163,0.0156,0.0172,34.7
2024,DT_leaf1_sem_poda,0.6968,0.7049,0.7053,0.6811,0.7226,0.7304,0.7324,0.7082,0.0258,0.0255,0.0271,0.0271,46.3
2024,RF50_leaf50,0.7503,0.7528,0.761,0.7384,0.7639,0.7639,0.7725,0.7541,0.0136,0.0111,0.0115,0.0157,72.6
2024,RF50_leaf1_sem_poda,0.7613,0.7674,0.7767,0.7492,0.7912,0.7959,0.8061,0.7808,0.0299,0.0285,0.0293,0.0317,121.2
7,DT_leaf50,0.7024,0.7076,0.7192,0.687,0.7144,0.7189,0.7297,0.6998,0.0121,0.0113,0.0105,0.0127,36.3
7,DT_leaf1_sem_poda,0.695,0.7026,0.7041,0.6792,0.7241,0.7317,0.733,0.7098,0.0291,0.0291,0.0289,0.0306,44.4
7,RF50_leaf50,0.7484,0.7511,0.7597,0.7366,0.7655,0.7665,0.7736,0.7553,0.0171,0.0154,0.0139,0.0187,65.8
7,RF50_leaf1_sem_poda,0.7622,0.7672,0.7771,0.7502,0.794,0.7983,0.8078,0.7838,0.0318,0.0311,0.0307,0.0336,123.9
555,DT_leaf50,0.7049,0.7101,0.7222,0.6897,0.7159,0.7209,0.733,0.7013,0.011,0.0108,0.0107,0.0116,37.6
555,DT_leaf1_sem_poda,0.701,0.7088,0.7096,0.6856,0.7241,0.732,0.7339,0.7098,0.0231,0.0232,0.0243,0.0243,46.3
555,RF50_leaf50,0.7507,0.7521,0.7602,0.7395,0.7668,0.768,0.7761,0.7566,0.0161,0.0158,0.016,0.0171,77.7
555,RF50_leaf1_sem_poda,0.7653,0.7702,0.7795,0.7535,0.7965,0.8008,0.8104,0.7864,0.0312,0.0307,0.0309,0.0329,114.5
11,DT_leaf50,0.7023,0.7072,0.7188,0.687,0.7159,0.7204,0.7305,0.7013,0.0135,0.0131,0.0117,0.0143,35.4
11,DT_leaf1_sem_poda,0.6966,0.7042,0.7061,0.6809,0.7225,0.7303,0.7319,0.7081,0.0259,0.0261,0.0258,0.0273,47.3
11,RF50_leaf50,0.756,0.757,0.765,0.7452,0.7665,0.767,0.7749,0.7564,0.0105,0.01,0.0099,0.0111,69.4
