modelo,metrica,R,A_media,B_media,delta_media,delta_dp,ic95_inf,ic95_sup,delta_min,delta_max,p_wilcoxon
DT_leaf50,f1_macro,10,0.7172,0.7305,0.0133,0.0035,0.0108,0.0159,0.0089,0.0202,0.002
DT_leaf50,mcc,10,0.685,0.7002,0.0152,0.0038,0.0124,0.0179,0.01,0.0222,0.002
DT_leaf50,acuracia_balanceada,10,0.7055,0.7195,0.014,0.0035,0.0115,0.0165,0.01,0.0204,0.002
DT_leaf1_sem_poda,f1_macro,10,0.7046,0.7321,0.0275,0.0029,0.0254,0.0295,0.0238,0.0337,0.002
DT_leaf1_sem_poda,mcc,10,0.6799,0.7084,0.0285,0.0032,0.0262,0.0308,0.0243,0.035,0.002
DT_leaf1_sem_poda,acuracia_balanceada,10,0.7034,0.7305,0.0271,0.0031,0.0249,0.0293,0.0232,0.0332,0.002
RF50_leaf50,f1_macro,10,0.7603,0.7734,0.0131,0.0021,0.0116,0.0147,0.0099,0.016,0.002
RF50_leaf50,mcc,10,0.7395,0.7553,0.0158,0.0027,0.0138,0.0177,0.0111,0.0197,0.002
RF50_leaf50,acuracia_balanceada,10,0.7525,0.7659,0.0134,0.0024,0.0116,0.0151,0.0098,0.0166,0.002
RF50_leaf1_sem_poda,f1_macro,10,0.7777,0.8071,0.0293,0.0018,0.028,0.0306,0.0262,0.032,0.002
RF50_leaf1_sem_poda,mcc,10,0.7511,0.7831,0.032,0.002,0.0306,0.0334,0.0292,0.0345,0.002
RF50_leaf1_sem_poda,acuracia_balanceada,10,0.768,0.7975,0.0295,0.0017,0.0283,0.0307,0.0271,0.032,0.002
